FECHA,SAM44_CanESM2_WRF,SAM44_CSIRO_Mk3,SAM44_EC_EARTH_RCA4_v3,SAM44_IPSL_RCA4_v3,SAM44_MIROC5_RCA4_v3,SAM44_HadGEM2_RCA4_v3,SAM44_ESM2M_RCA4_v3,SAM44_NorESM1_RCA4_v3,SAM20_MIROC5_Eta_v1,SAM20_CanESM2_Eta_v1,PISCO_SENAMHI,RAIN4PE
1/1/1981,3.36,1.4,1.56,0.64,1.94,0,8.13,2.46,5.72,4.84,0.178,0.17
1/2/1981,2.53,1.61,3.83,0,2.42,2.15,2.63,5.01,5.72,7.96,0.942,4.04
1/3/1981,3.24,3.92,1.96,1.8,1.21,5.23,2.84,6.79,5.72,2.77,2.105,0.73
1/4/1981,5.73,3.82,5.54,0.94,0.54,5.92,3.4,8.3,5.72,2.68,2.227,5.91
1/5/1981,5.06,3.53,8.22,0,2.31,6.17,3.45,3.86,0,4.89,4.946,9.78
1/6/1981,2.63,2.59,5.37,1.63,1.4,6.54,4.98,1.01,0,0.06,5.846,6.46
1/7/1981,4.85,2.64,4.08,1.08,2.65,2.9,7,0.89,0,0,1.614,0.76
1/8/1981,6.09,1.69,1.64,0,5.68,1.34,3.61,0.19,5.72,0,3.568,0.8
1/9/1981,4.23,3.56,2.7,0,7.37,4.34,5.44,0.29,5.72,0,1.753,9.59
1/10/1981,5.43,5.19,3.25,0.72,0.92,3.91,4.62,1.23,5.72,1.78,2.659,3.05
1/11/1981,4.68,5.59,4.62,0.43,1.52,0,5.81,1.73,0,2.83,2.108,5.25
1/12/1981,7.13,4.16,6.85,0.72,3.63,0,4.36,1.34,0,6.07,3.463,4.07
1/13/1981,12.42,7.78,7.51,5.99,3.38,0,8.7,1.15,0,7.63,3.41,2.49
1/14/1981,5.76,2.39,6.29,18.62,3.96,0,8.55,0.73,0,4.72,0.984,0.9
1/15/1981,2.63,3.61,7.34,9.49,4.08,0,4.74,0.29,0,1.34,2.749,2.28
1/16/1981,2.38,2.75,5.76,4.08,1.02,2.9,4.69,1.01,0,0.2,2.604,3.27
1/17/1981,3.65,1.83,1.67,1.28,1.86,0.78,3.17,0.54,0,1.32,1.936,6.78
1/18/1981,7.5,2.06,0.86,0.8,4.03,0,3.74,1.53,0,3.93,2.673,0.24
1/19/1981,4.68,0.69,0.34,3.27,2.2,0,6.04,1.41,0,3.78,1.495,0.03
1/20/1981,3.74,1.72,0.7,5.62,2.86,0,5.7,1.64,0,3.38,5.194,7.44
1/21/1981,3.49,5.1,0.68,3.74,5.88,0,3.95,4.19,5.72,6.32,2.565,8.05
1/22/1981,11.45,3.17,1.23,5.36,3.15,0,3.24,3.57,5.72,6.44,1.574,3.27
1/23/1981,4.11,2.13,1.67,2.67,4.32,2.32,3.17,4.44,5.72,7.52,2.969,7.12
1/24/1981,3.13,2.68,1.96,0.94,3.98,2.9,2.95,2.6,5.72,8.4,0.788,2.36
1/25/1981,2.41,3.47,2.27,0.33,6.01,0.78,3.22,3.41,5.72,4.5,0.893,0.2
1/26/1981,1.58,5.49,2.73,2.54,1.55,0,2.02,4.86,5.72,6.9,3.623,9.7
1/27/1981,4.67,7.9,4.62,1.77,0.92,0,2.65,3.83,5.72,6.4,1.208,13.18
1/28/1981,6.02,5.36,9.05,3.81,1.33,0,2.95,7.45,5.72,0,3.359,0.77
1/29/1981,2.49,3.26,6.27,2.1,2.24,0,6.36,8.55,5.72,0.82,3.781,0.42
1/30/1981,7.75,6.97,1.58,2.89,1.82,0,5.41,10.19,5.72,7.5,8.675,0.44
1/31/1981,12.08,7.34,2.56,2.96,1.11,3.69,5.67,8.74,5.72,5.07,6.841,27.78
2/1/1981,10.57,7.72,1.28,3.56,3.47,1.68,2.7,7.47,2.87,3.97,5.272,3.57
2/2/1981,19.66,2.35,2.78,4.72,2.38,0,4.91,2.91,5.6,2.78,2.824,0.16
2/3/1981,11.63,3.69,2.72,6.49,1.5,5.01,12.22,3.51,8.71,5.51,9.269,6.76
2/4/1981,8.51,4.84,5.53,6.05,5.94,5.35,10.25,1.76,7.12,0.56,10.656,5.24
2/5/1981,4.43,6.28,3,3.37,13.51,4.27,14.66,4.53,3.84,0,5.997,4.71
2/6/1981,11.14,10,3.62,3.26,6.72,2.06,11.52,6.5,1.66,0,7.654,7.48
2/7/1981,7.87,10.77,5.33,9.08,3.09,0,16.11,3.21,1.66,0,14.644,12.67
2/8/1981,13.03,13.38,16.07,19.12,1.5,2.84,5.64,1.22,9.33,1.19,11.928,10.15
2/9/1981,10.4,12.66,11.77,19.06,3.58,1.33,4.75,0.55,8.94,0.74,10.903,17.16
2/10/1981,6.47,16.81,3,19.94,2.38,1.87,4.63,1.01,5.43,1.64,3.096,5.06
2/11/1981,4.32,17.32,0.97,5.91,6.68,3.79,7.6,4.27,4.84,1.03,4.326,4.51
2/12/1981,3.18,15.97,0.75,6.25,6.21,5.86,7.38,6.67,4.48,1.47,3.577,6.92
2/13/1981,4.47,14.92,1.52,4.77,3.2,5.14,10.7,7.58,8.14,4.8,7.499,8.83
2/14/1981,4.27,4.45,4.24,17.64,3.29,1.75,8.78,4.38,8.95,9.98,6.604,0.26
2/15/1981,2.9,0.84,5.53,5.86,3.41,0.67,10.53,3.33,9.5,5.21,15.366,7.92
2/16/1981,4.07,1.82,0.61,1.52,3.52,4.72,8.02,3.24,8.68,2.76,13.127,5.31
2/17/1981,3.89,2.58,0.97,2.79,2.1,4.81,3.93,5.09,6.5,4.92,7.844,0.2
2/18/1981,4.03,3.63,1.05,0.86,6.14,6.6,3.73,6.05,5.25,6.77,9.67,13.78
2/19/1981,1.29,7.72,1.93,1.45,8.73,5.82,3.43,3.62,7.97,10.25,13.357,6.3
2/20/1981,4.31,9.28,2.46,3.73,5.83,6.4,0.76,3.27,8.96,5.46,11.935,13.34
2/21/1981,8.02,14.72,1.67,2.7,8.42,5.73,1.75,1.22,8.83,5.01,6.709,8.57
2/22/1981,8.83,11.63,2.02,5.09,7.31,3.43,1.75,1.92,9.28,5.89,5.27,6.48
2/23/1981,8.84,5.45,1.19,4.23,1.87,5.07,0.36,2.37,9.24,6.6,15.314,6.48
2/24/1981,7.24,1.76,2.04,1.78,4.89,1.87,0.76,4.27,6.27,4.65,4.139,7.84
2/25/1981,5.89,1.34,1.05,1.81,2.44,3.06,3.08,5.61,3.86,6.42,4.442,8.75
2/26/1981,5.87,1.45,1.99,3.26,8.82,6.99,4.75,4.17,8.64,3.17,5.492,0.26
2/27/1981,2.41,0.6,10.98,4.23,15.87,7.11,4.75,2.47,9.13,0.1,7.69,1.46
2/28/1981,4.94,2.25,11.16,4.51,9.69,6.21,2.25,2.51,9.74,0.09,3.869,11.59
3/1/1981,5.61,4.82,6.67,3.34,6.05,1.63,2.47,2.88,7.77,2.24,1.273,9.12
3/2/1981,8.02,6.75,2.63,2.4,5.45,1.48,4.33,0.88,7.79,2.65,2.218,6.35
3/3/1981,5.07,3.41,2.55,1.77,7.69,1.63,3.86,0.49,6.52,1.17,1.307,0.35
3/4/1981,3.26,2.54,1.98,2.24,5.69,3.61,7.42,0.71,7.07,3.39,2.297,0.11
3/5/1981,6.04,3.14,0.29,2.54,4.57,6.18,8.62,2.29,6.15,9.34,2.829,8.61
3/6/1981,4.33,2.76,0.53,3.06,2.32,5.18,1.85,3.12,3.58,8.24,1.511,0.43
3/7/1981,3.9,3.49,0.14,2.59,1.65,1.44,7.05,4.06,6.64,7.72,0.399,7.73
